literature,R2%,setup,Stt,Sinc,Sig,Hs(80m or offshore),Tp,tan,D50,dataset,Hs0,L0
Stockdon et al. 2006,1.187,0.403,1.283,0.191,1.271,2.308,12.207,0.017,0.2,Agate96,2.308,232.5726794
Stockdon et al. 2006,1.105,0.444,1.189,0.104,1.188,2.056,12.654,0.015,0.2,Agate96,2.056,249.9173847
Stockdon et al. 2006,0.704,0.21,0.828,0.115,0.824,1.849,12.904,0.013,0.2,Agate96,1.849,259.8899682
Stockdon et al. 2006,0.68,0.255,0.7,0.109,0.693,1.871,12.8,0.012,0.2,Agate96,1.871,255.7176746
Stockdon et al. 2006,0.704,0.247,0.798,0.139,0.788,1.889,12.8,0.012,0.2,Agate96,1.889,255.7176746
Stockdon et al. 2006,1.357,0.427,1.226,0.153,1.22,2.125,12.532,0.015,0.2,Agate96,2.125,245.1215982
Stockdon et al. 2006,1.139,0.413,1.321,0.204,1.309,2.194,12.41,0.016,0.2,Agate96,2.194,240.372273
Stockdon et al. 2006,1.341,0.579,1.259,0.241,1.244,2.412,13.03,0.017,0.2,Agate96,2.412,264.9900937
Stockdon et al. 2006,1.213,0.522,1.082,0.096,1.079,2.515,14.006,0.017,0.2,Agate96,2.515,306.1745239
Stockdon et al. 2006,1.816,0.645,1.537,0.252,1.525,3.061,14.324,0.015,0.2,Agate96,3.061,320.2354687
Stockdon et al. 2006,1.49,0.404,1.32,0.176,1.33,3.095,14.289,0.014,0.2,Agate96,3.095,318.6724209
Stockdon et al. 2006,0.779,0.269,0.729,0.126,0.719,3.077,7.061,0.019,0.2,Agate96,3.077,77.81677537
Stockdon et al. 2006,0.864,0.267,0.85,0.166,0.835,3.106,7.314,0.023,0.2,Agate96,3.106,83.49312558
Stockdon et al. 2006,0.674,0.204,0.811,0.176,0.793,3.142,7.618,0.023,0.2,Agate96,3.142,90.57800351
Stockdon et al. 2006,1.026,0.216,1.362,1.156,0.72,0.981,9.5,0.14,0.75,Duck82,0.981,140.8601082
Stockdon et al. 2006,1.123,0.108,1.559,1.267,0.909,0.854,11,0.16,0.75,Duck82,0.854,188.8539955
Stockdon et al. 2006,2.063,0.811,2.332,1.851,1.419,0.854,11,0.16,0.75,Duck82,0.854,188.8539955
Stockdon et al. 2006,1.126,0.234,1.166,0.962,0.659,0.568,9.3,0.14,0.75,Duck82,0.568,134.9915874
Stockdon et al. 2006,0.849,0.066,0.996,0.79,0.606,0.478,7.4,0.14,0.75,Duck82,0.478,85.46813881
Stockdon et al. 2006,1.995,0.983,1.475,1.152,0.921,2.196,7.9,0.16,0.75,Duck82,2.196,97.4080815
Stockdon et al. 2006,2.628,1.496,1.734,1.298,1.15,2.477,12.1,0.12,0.75,Duck82,2.477,228.5133346
Stockdon et al. 2006,2.68,1.471,1.716,1.151,1.273,2.629,11.6,0.12,0.75,Duck82,2.629,210.0181293
Stockdon et al. 2006,2.487,1.098,2.09,1.288,1.646,2.036,13.8,0.13,0.75,Duck82,2.036,297.2343381
Stockdon et al. 2006,2.803,0.976,2.407,1.541,1.849,1.892,14.6,0.12,0.75,Duck82,1.892,332.6951875
Stockdon et al. 2006,2.802,0.871,2.459,1.556,1.904,1.96,14.4,0.12,0.75,Duck82,1.96,323.6426819
Stockdon et al. 2006,2.176,0.716,2.098,1.149,1.756,1.804,15.3,0.12,0.75,Duck82,1.804,365.3622464
Stockdon et al. 2006,3.179,1.081,2.851,1.612,2.351,2.255,16.2,0.12,0.75,Duck82,2.255,409.6102693
Stockdon et al. 2006,3.024,1.074,3.041,2.107,2.193,2.213,15.1,0.12,0.75,Duck82,2.213,355.8727233
Stockdon et al. 2006,3.064,0.135,2.926,2.089,2.048,2.269,16.5,0.12,0.75,Duck82,2.269,424.92149
Stockdon et al. 2006,3.21,1.175,2.834,1.943,2.063,2.336,16.3,0.12,0.75,Duck82,2.336,414.682794
Stockdon et al. 2006,2.313,0.829,2.024,1.108,1.694,1.776,16,0.12,0.75,Duck82,1.776,399.5588666
Stockdon et al. 2006,1.923,0.689,1.868,0.934,1.618,1.733,14.6,0.12,0.75,Duck82,1.733,332.6951875
Stockdon et al. 2006,2.151,0.9,1.748,1.296,1.173,1.573,13.8,0.12,0.75,Duck82,1.573,297.2343381
Stockdon et al. 2006,2.193,0.878,1.914,1.47,1.226,2.672,14.8,0.12,0.75,Duck82,2.672,341.8725552
Stockdon et al. 2006,1.581,0.572,1.635,1.256,1.047,1.452,14.4,0.12,0.75,Duck82,1.452,323.6426819
Stockdon et al. 2006,1.849,0.86,1.431,1.118,0.894,1.151,12.5,0.11,0.75,Duck82,1.151,243.8713785
Stockdon et al. 2006,1.42,0.661,1.166,0.962,0.659,0.767,12.5,0.11,0.75,Duck82,0.767,243.8713785
Stockdon et al. 2006,1.037,0.499,0.748,0.621,0.417,0.715,11.8,0.11,0.75,Duck82,0.715,217.3225648
Stockdon et al. 2006,1.293,0.62,0.903,0.766,0.478,0.725,11.1,0.11,0.75,Duck82,0.725,192.3033123
Stockdon et al. 2006,1.39,0.824,0.704,0.446,0.545,1.512,6.3,0.12,0.75,Duck82,1.512,61.94723209
Stockdon et al. 2006,1.124,0.629,0.681,0.57,0.373,0.718,12.3,0.11,0.75,Duck82,0.718,236.1299255
Stockdon et al. 2006,1.245,0.58,0.82,0.666,0.478,1.073,6.8,0.11,0.75,Duck82,1.073,72.17032028
Stockdon et al. 2006,1.188,0.556,0.81,0.627,0.512,1.073,6.8,0.11,0.75,Duck82,1.073,72.17032028
Stockdon et al. 2006,1.324,0.667,1.073,0.803,0.712,1.051,8.7,0.11,0.75,Duck82,1.051,118.1351977
Stockdon et al. 2006,1.309,0.584,1.004,0.771,0.643,1.193,8.1,0.11,0.75,Duck82,1.193,102.4025673
Stockdon et al. 2006,1.58,0.928,0.876,0.54,0.69,1.689,9.5,0.09,0.75,Duck82,1.689,140.8601082
Stockdon et al. 2006,1.486,0.96,0.693,0.504,0.475,1.689,9.5,0.09,0.75,Duck82,1.689,140.8601082
Stockdon et al. 2006,1.816,0.72,1.616,1.143,1.143,3.262,8.2,0.12,0.75,Duck82,3.262,104.9466336
Stockdon et al. 2006,2.921,1.318,2.494,1.222,2.174,4.083,13.8,0.12,0.75,Duck82,4.083,297.2343381
Stockdon et al. 2006,2.953,1.421,2.564,1.538,2.051,3.72,13.3,0.12,0.75,Duck82,3.72,276.0858122
Stockdon et al. 2006,0.903,0.136,1.045,0.883,0.562,0.596,12.19,0.068,0.36,Duck90,0.596,231.9253488
Stockdon et al. 2006,0.849,0.113,0.998,0.826,0.565,0.521,12.19,0.064,0.36,Duck90,0.521,231.9253488
Stockdon et al. 2006,0.765,0.108,0.845,0.694,0.485,0.602,12.19,0.061,0.36,Duck90,0.602,231.9253488
Stockdon et al. 2006,1.056,0.408,1.127,1.028,0.462,0.614,12.19,0.076,0.36,Duck90,0.614,231.9253488
Stockdon et al. 2006,1.092,0.366,1.19,1.076,0.507,0.59,12.19,0.076,0.36,Duck90,0.59,231.9253488
Stockdon et al. 2006,1.148,0.384,1.249,1.124,0.545,0.632,12.226,0.076,0.36,Duck90,0.632,233.2972342
Stockdon et al. 2006,0.419,0.107,0.648,0.511,0.399,0.534,11.636,0.054,0.36,Duck90,0.534,211.3237128
Stockdon et al. 2006,1.042,0.203,1.014,0.763,0.671,0.841,9.481,0.054,0.36,Duck90,0.841,140.2972313
Stockdon et al. 2006,1.016,0.195,1.001,0.73,0.689,0.872,10.299,0.054,0.36,Duck90,0.872,165.5506627
Stockdon et al. 2006,0.862,0.17,0.999,0.729,0.686,0.89,10.215,0.054,0.36,Duck90,0.89,162.8611695
Stockdon et al. 2006,0.97,0.295,0.923,0.667,0.639,0.878,11.13,0.055,0.36,Duck90,0.878,193.3441944
Stockdon et al. 2006,1.006,0.293,0.944,0.596,0.734,0.86,11.13,0.052,0.36,Duck90,0.86,193.3441944
Stockdon et al. 2006,0.932,0.281,1.026,0.658,0.787,0.825,10.868,0.054,0.36,Duck90,0.825,184.3486946
Stockdon et al. 2006,0.854,0.144,0.768,0.424,0.64,0.805,11.021,0.046,0.36,Duck90,0.805,189.5757627
Stockdon et al. 2006,0.554,0.14,0.652,0.371,0.535,0.872,10.57,0.04,0.36,Duck90,0.872,174.3776344
Stockdon et al. 2006,0.693,0.161,0.738,0.386,0.629,0.848,10.967,0.037,0.36,Duck90,0.848,187.7225713
Stockdon et al. 2006,0.664,0.231,0.758,0.331,0.682,0.843,10.05,0.035,0.36,Duck90,0.843,157.642361
Stockdon et al. 2006,0.616,0.212,0.787,0.335,0.712,0.933,10.377,0.033,0.36,Duck90,0.933,168.0677712
Stockdon et al. 2006,0.64,0.206,0.737,0.364,0.641,0.957,11.13,0.035,0.36,Duck90,0.957,193.3441944
Stockdon et al. 2006,1.14,0.483,1.192,0.803,0.881,1.248,10.642,0.065,0.36,Duck90,1.248,176.7613527
Stockdon et al. 2006,1.168,0.509,1.257,0.803,0.967,1.332,10.24,0.067,0.36,Duck90,1.332,163.6593118
Stockdon et al. 2006,1.255,0.511,1.306,0.867,0.977,1.389,11.143,0.07,0.36,Duck90,1.389,193.7961158
Stockdon et al. 2006,1.052,0.418,1.214,0.899,0.816,1.392,9.621,0.067,0.36,Duck90,1.392,144.4711855
Stockdon et al. 2006,1.152,0.415,1.341,0.832,1.053,1.321,10.667,0.065,0.36,Duck90,1.321,177.5928175
Stockdon et al. 2006,1.158,0.433,1.247,0.863,0.899,1.378,9.907,0.065,0.36,Duck90,1.378,153.1881365
Stockdon et al. 2006,1.077,0.306,1.209,0.7,0.986,1.389,9.76,0.055,0.36,Duck90,1.389,148.6758543
Stockdon et al. 2006,1.044,0.256,1.095,0.649,0.882,1.315,9.322,0.055,0.36,Duck90,1.315,135.6310127
Stockdon et al. 2006,0.917,0.237,0.942,0.535,0.776,1.265,9.972,0.054,0.36,Duck90,1.265,155.2048709
Stockdon et al. 2006,0.897,0.239,0.771,0.442,0.632,1.312,10.787,0.052,0.36,Duck90,1.312,181.6110062
Stockdon et al. 2006,1.02,0.279,0.804,0.415,0.688,1.292,10.541,0.052,0.36,Duck90,1.292,173.4220972
Stockdon et al. 2006,0.88,0.26,0.757,0.463,0.599,1.223,9.481,0.05,0.36,Duck90,1.223,140.2972313
Stockdon et al. 2006,1.292,0.551,1.197,0.835,0.858,1.336,10.136,0.076,0.36,Duck90,1.336,160.3518634
Stockdon et al. 2006,1.368,0.625,1.334,0.874,1.008,1.226,9.502,0.078,0.36,Duck90,1.226,140.919424
Stockdon et al. 2006,1.473,0.563,1.459,0.903,1.149,1.323,9.307,0.078,0.36,Duck90,1.323,135.194877
Stockdon et al. 2006,1.39,0.426,1.488,1.151,0.943,1.323,8.103,0.076,0.36,Duck90,1.323,102.4784351
Stockdon et al. 2006,1.269,0.385,1.341,1.013,0.879,1.297,9.203,0.074,0.36,Duck90,1.297,132.1903192
Stockdon et al. 2006,1.175,0.381,1.216,0.927,0.787,1.47,10.008,0.072,0.36,Duck90,1.47,156.3275064
Stockdon et al. 2006,1.209,0.325,1.312,0.794,1.047,2.229,7.999,0.066,0.36,Duck90,2.229,99.86474578
Stockdon et al. 2006,1.013,0.216,1.207,0.692,0.998,2.216,8.355,0.066,0.36,Duck90,2.216,108.9516259
Stockdon et al. 2006,0.99,0.23,1.159,0.79,0.85,2.095,7.731,0.066,0.36,Duck90,2.095,93.28507258
Stockdon et al. 2006,1.437,0.433,1.336,0.938,0.955,2.006,7.843,0.079,0.36,Duck90,2.006,96.00751686
Stockdon et al. 2006,1.43,0.448,1.605,1.176,1.096,1.994,8.303,0.088,0.36,Duck90,1.994,107.599656
Stockdon et al. 2006,1.646,0.434,1.815,1.396,1.165,2.096,8.082,0.098,0.36,Duck90,2.096,101.9479505
Stockdon et al. 2006,1.472,0.552,1.687,1.291,1.091,1.958,9.314,0.107,0.36,Duck90,1.958,135.3983196
Stockdon et al. 2006,1.89,0.65,2.137,1.392,1.627,1.803,8.712,0.113,0.36,Duck90,1.803,118.4613127
Stockdon et al. 2006,1.624,0.571,1.945,1.43,1.324,1.836,7.575,0.116,0.36,Duck90,1.836,89.55834957
Stockdon et al. 2006,1.668,0.632,1.798,1.369,1.172,1.785,7.758,0.113,0.36,Duck90,1.785,93.93779413
Stockdon et al. 2006,1.718,0.656,1.715,1.294,1.135,1.725,8.165,0.107,0.36,Duck90,1.725,104.0526596
Stockdon et al. 2006,1.832,0.665,1.776,1.277,1.246,1.62,8.333,0.098,0.36,Duck90,1.62,108.3786085
Stockdon et al. 2006,1.597,0.69,1.682,1.318,1.049,1.746,9.481,0.12,0.36,Duck90,1.746,140.2972313
Stockdon et al. 2006,1.568,0.672,1.665,1.342,0.987,1.89,8.856,0.12,0.36,Duck90,1.89,122.4097534
Stockdon et al. 2006,1.483,0.622,1.726,1.331,1.102,1.767,9.069,0.116,0.36,Duck90,1.767,128.3688383
Stockdon et al. 2006,1.463,0.368,1.609,1.215,1.06,1.464,8.14,0.081,0.36,Duck90,1.464,103.416448
Stockdon et al. 2006,1.603,0.359,1.611,1.232,1.043,1.445,8.682,0.079,0.36,Duck90,1.445,117.6468681
Stockdon et al. 2006,1.538,0.395,1.71,1.206,1.217,1.485,7.743,0.086,0.36,Duck90,1.485,93.5748901
Stockdon et al. 2006,1.981,0.657,2.435,2.131,1.188,1.508,8.258,0.124,0.36,Duck90,1.508,106.4364949
Stockdon et al. 2006,2.37,0.83,2.85,2.271,1.721,1.839,14.785,0.125,0.36,Duck90,1.839,341.1799215
Stockdon et al. 2006,2.488,0.8,2.839,2.325,1.628,2.002,14.779,0.118,0.36,Duck90,2.002,340.9030647
Stockdon et al. 2006,2.42,0.913,2.683,2.351,1.303,2.409,11.636,0.112,0.36,Duck90,2.409,211.3237128
Stockdon et al. 2006,2.255,0.868,2.419,1.995,1.375,2.456,11.13,0.109,0.36,Duck90,2.456,193.3441944
Stockdon et al. 2006,2.166,0.853,2.249,1.825,1.321,2.472,11.636,0.109,0.36,Duck90,2.472,211.3237128
Stockdon et al. 2006,2.241,0.911,2.463,2.125,1.253,2.316,11.13,0.115,0.36,Duck90,2.316,193.3441944
Stockdon et al. 2006,2.352,0.945,2.737,2.243,1.578,2.488,11.13,0.117,0.36,Duck90,2.488,193.3441944
Stockdon et al. 2006,2.37,1.012,2.799,2.518,1.233,2.171,10.804,0.12,0.36,Duck90,2.171,182.1838847
Stockdon et al. 2006,2.185,0.938,2.922,2.605,1.337,2.226,10.466,0.124,0.36,Duck90,2.226,170.9630543
Stockdon et al. 2006,2.307,0.965,2.974,2.709,1.239,2.056,10.449,0.107,0.36,Duck90,2.056,170.4081123
Stockdon et al. 2006,2.234,0.965,2.997,2.803,1.074,1.983,11.309,0.107,0.36,Duck90,1.983,199.6131809
Stockdon et al. 2006,2.222,0.963,3.027,2.669,1.44,1.688,10.021,0.107,0.36,Duck90,1.688,156.7338968
Stockdon et al. 2006,2.425,0.926,3.249,2.862,1.551,1.86,10.921,0.107,0.36,Duck90,1.86,186.1511062
Stockdon et al. 2006,2.21,0.771,2.18,1.593,1.49,2.513,11.606,0.107,0.36,Duck90,2.513,210.2354456
Stockdon et al. 2006,2.16,0.757,2.136,1.629,1.382,2.476,11.13,0.109,0.36,Duck90,2.476,193.3441944
Stockdon et al. 2006,2.302,0.819,2.138,1.737,1.246,2.343,11.442,0.109,0.36,Duck90,2.343,204.335909
Stockdon et al. 2006,1.719,0.64,2.061,1.686,1.193,1.281,9.838,0.105,0.36,Duck90,1.281,151.0617264
Stockdon et al. 2006,1.537,0.521,1.836,1.56,0.975,1.229,9.481,0.102,0.36,Duck90,1.229,140.2972313
Stockdon et al. 2006,1.681,0.511,1.944,1.593,1.123,1.112,9.631,0.099,0.36,Duck90,1.112,144.7716662
Stockdon et al. 2006,2.056,0.677,2.429,1.992,1.397,1.21,9.143,0.117,0.36,Duck90,1.21,130.4722785
Stockdon et al. 2006,2.126,0.713,2.619,2.357,1.153,1.216,9.726,0.119,0.36,Duck90,1.216,147.6418022
Stockdon et al. 2006,1.992,0.721,2.671,2.478,1.01,1.182,9.187,0.119,0.36,Duck90,1.182,131.7310762
Stockdon et al. 2006,1.47,0.556,1.498,1.201,0.895,1.216,9.739,0.099,0.36,Duck90,1.216,148.0367489
Stockdon et al. 2006,1.626,0.567,1.472,1.239,0.799,1.125,9.846,0.101,0.36,Duck90,1.125,151.307505
Stockdon et al. 2006,1.757,0.566,1.518,1.247,0.867,1.149,10.078,0.105,0.36,Duck90,1.149,158.5219899
Stockdon et al. 2006,2.221,0.758,2.557,2.318,1.083,1.215,9.243,0.122,0.36,Duck90,1.215,133.3419228
Stockdon et al. 2006,2.28,0.772,2.725,2.451,1.192,1.165,9.578,0.122,0.36,Duck90,1.165,143.1826753
Stockdon et al. 2006,2.046,0.744,2.78,2.549,1.129,1.046,10.502,0.122,0.36,Duck90,1.046,172.1412036
Stockdon et al. 2006,2.212,0.641,2.653,2.425,1.088,1.197,11.219,0.121,0.36,Duck90,1.197,196.4486747
Stockdon et al. 2006,1.763,0.531,2.344,2.122,1.008,0.988,10.491,0.112,0.36,Duck90,0.988,171.7807843
Stockdon et al. 2006,1.453,0.316,1.8,1.614,0.804,1.098,11.13,0.099,0.36,Duck90,1.098,193.3441944
Stockdon et al. 2006,1.437,0.302,1.781,1.638,0.71,1.168,11.13,0.099,0.36,Duck90,1.168,193.3441944
Stockdon et al. 2006,1.726,0.381,2.064,1.896,0.825,1.105,11.13,0.108,0.36,Duck90,1.105,193.3441944
Stockdon et al. 2006,1.974,0.524,2.477,2.308,0.91,1.184,10.667,0.119,0.36,Duck90,1.184,177.5928175
Stockdon et al. 2006,2.061,0.674,2.797,2.604,1.036,1.149,10.667,0.122,0.36,Duck90,1.149,177.5928175
Stockdon et al. 2006,1.941,0.686,2.849,2.693,0.943,1.12,11.13,0.122,0.36,Duck90,1.12,193.3441944
Stockdon et al. 2006,1.631,0.482,2.04,1.807,0.956,1.748,5.751,0.105,0.36,Duck90,1.748,51.62113419
Stockdon et al. 2006,1.602,0.376,1.94,1.72,0.913,1.678,5.889,0.101,0.36,Duck90,1.678,54.12824122
Stockdon et al. 2006,1.268,0.273,1.64,1.432,0.809,1.707,5.953,0.088,0.36,Duck90,1.707,55.31113524
Stockdon et al. 2006,1.273,0.444,1.282,1.014,0.785,1.467,5.99,0.086,0.36,Duck90,1.467,56.00082848
Stockdon et al. 2006,1.202,0.467,1.157,0.919,0.702,1.512,6.895,0.084,0.36,Duck90,1.512,74.20092995
Stockdon et al. 2006,1.282,0.453,1.305,1.002,0.837,1.523,9.916,0.082,0.36,Duck90,1.523,153.46659
Stockdon et al. 2006,1.142,0.456,1.163,0.929,0.698,1.47,8.188,0.081,0.36,Duck90,1.47,104.6396974
Stockdon et al. 2006,1.116,0.455,1.172,0.909,0.741,1.378,8.13,0.084,0.36,Duck90,1.378,103.1625096
Stockdon et al. 2006,1.187,0.41,1.224,0.993,0.716,1.36,8.108,0.084,0.36,Duck90,1.36,102.6049439
Stockdon et al. 2006,1.492,0.378,1.356,1.086,0.812,1.366,8.461,0.091,0.36,Duck90,1.366,111.7337043
Stockdon et al. 2006,1.725,0.376,1.556,1.267,0.905,1.36,9.985,0.096,0.36,Duck90,1.36,155.6098004
Stockdon et al. 2006,1.64,0.413,1.769,1.465,0.991,1.317,9.738,0.105,0.36,Duck90,1.317,148.0063497
Stockdon et al. 2006,1.624,0.435,1.852,1.547,1.032,1.31,9.362,0.105,0.36,Duck90,1.31,136.7974749
Stockdon et al. 2006,1.59,0.43,2.003,1.713,1.038,1.23,9.474,0.111,0.36,Duck90,1.23,140.0901396
Stockdon et al. 2006,2.167,0.906,2.103,1.778,1.132,1.249,9.382,0.137,0.36,Duck90,1.249,137.3825789
Stockdon et al. 2006,2.169,0.831,1.858,1.449,1.169,1.145,9.135,0.133,0.36,Duck90,1.145,130.2440555
Stockdon et al. 2006,1.964,0.776,1.71,1.438,0.932,1.077,6.317,0.126,0.36,Duck90,1.077,62.28200155
Stockdon et al. 2006,1.395,0.64,1.17,1.016,0.586,1.079,4.682,0.086,0.36,Duck90,1.079,34.21398227
Stockdon et al. 2006,1.465,0.602,1.217,0.9,0.822,1.137,9.481,0.086,0.36,Duck90,1.137,140.2972313
Stockdon et al. 2006,1.497,0.62,1.269,1.075,0.681,1.177,9.362,0.094,0.36,Duck90,1.177,136.7974749
Stockdon et al. 2006,1.731,0.715,1.434,1.175,0.827,1.146,8.812,0.104,0.36,Duck90,1.146,121.196418
Stockdon et al. 2006,2.01,0.765,1.646,1.294,1.022,1.163,9.013,0.112,0.36,Duck90,1.163,126.7884082
Stockdon et al. 2006,1.219,0.349,1.233,1.036,0.667,1.068,9.143,0.094,0.36,Duck90,1.068,130.4722785
Stockdon et al. 2006,1.197,0.383,1.205,0.991,0.686,1.041,9.143,0.09,0.36,Duck90,1.041,130.4722785
Stockdon et al. 2006,1.198,0.451,1.145,0.974,0.603,1.073,8.892,0.083,0.36,Duck90,1.073,123.4069774
Stockdon et al. 2006,1.075,0.394,1.029,0.877,0.539,1.119,9.739,0.076,0.36,Duck90,1.119,148.0367489
Stockdon et al. 2006,0.994,0.401,0.96,0.745,0.605,1.143,6.294,0.073,0.36,Duck90,1.143,61.82929355
Stockdon et al. 2006,1.011,0.388,1.044,0.888,0.551,1.143,8.779,0.073,0.36,Duck90,1.143,120.2903823
Stockdon et al. 2006,1.478,0.258,2.103,1.987,0.708,1.166,5.224,0.116,0.36,Duck90,1.166,42.59387419
Stockdon et al. 2006,1.435,0.265,1.929,1.652,1.011,1.179,5.12,0.116,0.36,Duck90,1.179,40.91482794
Stockdon et al. 2006,1.304,0.2,1.755,1.663,0.573,1.288,5.212,0.108,0.36,Duck90,1.288,42.39841498
Stockdon et al. 2006,1.083,0.318,1.262,1.044,0.715,1.404,5.953,0.078,0.36,Duck90,1.404,55.31113524
Stockdon et al. 2006,1.184,0.307,1.297,1.095,0.7,1.389,5.867,0.081,0.36,Duck90,1.389,53.72457439
Stockdon et al. 2006,1.029,0.285,1.272,1.115,0.617,1.344,5.565,0.081,0.36,Duck90,1.344,48.3360486
Stockdon et al. 2006,1.185,0.376,1.266,1.139,0.554,1.307,5.516,0.085,0.36,Duck90,1.307,47.48859517
Stockdon et al. 2006,1.132,0.346,1.305,1.18,0.556,1.364,5.826,0.081,0.36,Duck90,1.364,52.97631769
Stockdon et al. 2006,1.161,0.358,1.338,1.18,0.63,1.435,5.78,0.081,0.36,Duck90,1.435,52.1430564
Stockdon et al. 2006,1.38,0.426,1.883,1.744,0.719,1.453,6.59,0.11,0.36,Duck90,1.453,67.78157193
Stockdon et al. 2006,1.556,0.46,1.854,1.703,0.742,1.441,6.386,0.104,0.36,Duck90,1.441,63.65003336
Stockdon et al. 2006,1.665,0.489,1.844,1.617,0.894,1.553,7.066,0.104,0.36,Duck90,1.553,77.92702084
Stockdon et al. 2006,1.316,0.351,1.267,1.089,0.652,1.262,6.554,0.083,0.36,Duck90,1.262,67.04303731
Stockdon et al. 2006,1.154,0.345,1.246,1.065,0.653,1.373,7.314,0.083,0.36,Duck90,1.373,83.49312558
Stockdon et al. 2006,1.333,0.37,1.281,1.105,0.655,1.403,6.84,0.083,0.36,Duck90,1.403,73.02188011
Stockdon et al. 2006,1.288,0.389,1.381,1.293,0.486,1.564,6.119,0.124,0.36,Duck90,1.564,58.43885708
Stockdon et al. 2006,1.346,0.423,1.367,1.245,0.566,1.503,6.163,0.124,0.36,Duck90,1.503,59.28231336
Stockdon et al. 2006,1.54,0.457,1.506,1.384,0.595,1.504,6.598,0.117,0.36,Duck90,1.504,67.94624013
Stockdon et al. 2006,0.993,0.323,1.098,0.991,0.474,0.727,4.491,0.09,0.25,Duck94,0.727,31.47943416
Stockdon et al. 2006,0.968,0.327,0.951,0.764,0.568,0.745,3.821,0.089,0.25,Duck94,0.745,22.7874056
Stockdon et al. 2006,1.507,0.431,1.573,0.705,1.406,1.736,6.372,0.056,0.25,Duck94,1.736,63.37125989
Stockdon et al. 2006,1.307,0.831,0.765,0.391,0.659,2.462,7.012,0.071,0.25,Duck94,2.462,76.74049957
Stockdon et al. 2006,1.595,0.721,1.097,0.756,0.797,2.124,7.043,0.079,0.25,Duck94,2.124,77.42053783
Stockdon et al. 2006,1.427,0.786,0.877,0.45,0.756,1.889,6.192,0.065,0.25,Duck94,1.889,59.84153189
Stockdon et al. 2006,1.668,0.972,0.88,0.39,0.791,2.508,6.717,0.073,0.25,Duck94,2.508,70.41926759
Stockdon et al. 2006,1.818,0.953,1.214,0.609,1.051,2.638,6.627,0.074,0.25,Duck94,2.638,68.54483706
Stockdon et al. 2006,2.058,0.995,1.375,0.63,1.223,2.573,6.681,0.074,0.25,Duck94,2.573,69.66646123
Stockdon et al. 2006,1.689,0.856,1.384,0.851,1.092,2.102,7.697,0.076,0.25,Duck94,2.102,92.46636397
Stockdon et al. 2006,2.386,1.549,1.245,0.541,1.128,2.039,7.957,0.07,0.25,Duck94,2.039,98.81878807
Stockdon et al. 2006,2.042,1.128,1.209,0.494,1.105,2.171,8.282,0.07,0.25,Duck94,2.171,107.0560609
Stockdon et al. 2006,1.579,0.7,1.219,0.69,1.006,2.275,8.517,0.089,0.25,Duck94,2.275,113.217641
Stockdon et al. 2006,1.514,0.731,1.167,0.743,0.901,2.385,8.62,0.089,0.25,Duck94,2.385,115.9725853
Stockdon et al. 2006,2.218,0.978,1.744,0.962,1.455,3.964,10.667,0.071,0.25,Duck94,3.964,177.5928175
Stockdon et al. 2006,2.587,1.093,2.03,1.104,1.704,4.059,10.83,0.07,0.25,Duck94,4.059,183.0617967
Stockdon et al. 2006,2.767,1.304,2.844,1.785,2.222,3.276,10.781,0.068,0.25,Duck94,3.276,181.4090292
Stockdon et al. 2006,2.738,1.273,2.653,1.599,2.123,3.168,11.547,0.077,0.25,Duck94,3.168,208.1033823
Stockdon et al. 2006,2.696,1.241,2.579,1.54,2.076,3.014,11.021,0.081,0.25,Duck94,3.014,189.5757627
Stockdon et al. 2006,2.034,0.846,1.795,0.928,1.537,2.999,10.667,0.077,0.25,Duck94,2.999,177.5928175
Stockdon et al. 2006,2.117,0.918,1.645,0.997,1.31,3.146,11.13,0.07,0.25,Duck94,3.146,193.3441944
Stockdon et al. 2006,1.983,0.965,1.694,1.016,1.357,2.84,11.13,0.074,0.25,Duck94,2.84,193.3441944
Stockdon et al. 2006,2.285,1.17,2.091,1.224,1.698,2.708,10.667,0.087,0.25,Duck94,2.708,177.5928175
Stockdon et al. 2006,2.179,0.998,2.481,1.719,1.795,1.958,10.667,0.078,0.25,Duck94,1.958,177.5928175
Stockdon et al. 2006,1.948,0.91,2.419,1.874,1.539,2.03,10.667,0.085,0.25,Duck94,2.03,177.5928175
Stockdon et al. 2006,2.136,0.895,2.423,1.943,1.456,1.955,10.667,0.088,0.25,Duck94,1.955,177.5928175
Stockdon et al. 2006,2.226,0.972,2.177,1.346,1.712,1.993,10.667,0.091,0.25,Duck94,1.993,177.5928175
Stockdon et al. 2006,1.897,0.932,1.47,1.129,0.944,1.942,10.667,0.092,0.25,Duck94,1.942,177.5928175
Stockdon et al. 2006,1.944,1.01,1.84,1.426,1.163,2.058,10.592,0.095,0.25,Duck94,2.058,175.1042759
Stockdon et al. 2006,2.121,0.693,2.058,1.416,1.499,1.662,11.897,0.084,0.25,Duck94,1.662,220.9101804
Stockdon et al. 2006,1.89,0.643,1.834,1.388,1.205,1.69,11.338,0.082,0.25,Duck94,1.69,200.6382414
Stockdon et al. 2006,1.847,0.614,1.714,1.302,1.12,1.732,11.629,0.079,0.25,Duck94,1.732,211.0695325
Stockdon et al. 2006,1.894,0.723,1.793,0.965,1.512,1.687,11.467,0.082,0.25,Duck94,1.687,205.2298049
